time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1719760097.96736717,0.00925919,0.00363213,0.00000391,38875.00000000,0.01099795,0.000000,0.000000
1719760098.06821012,0.00928370,0.00381174,0.00000433,39444.00000000,0.01185675,0.000000,0.000000
1719760098.16911888,0.00931416,0.00308780,0.00000395,40050.00000000,0.01254264,0.000000,0.000000
1719760098.26995730,0.00933619,0.00404664,0.00000389,40851.00000000,0.01169341,0.000000,0.000000
1719760098.37079191,0.00936888,0.00428551,0.00000354,41454.00000000,0.01289945,0.000000,0.000000
1719760098.47167110,0.00937670,0.00317406,0.00000343,42111.00000000,0.01022916,0.000000,0.000000
1719760098.57251453,0.00940229,0.00429170,0.00000340,42905.00000000,0.01221784,0.000000,0.000000
1719760098.67341948,0.00946328,0.00714695,0.00000432,43622.00000000,0.01623336,0.000000,0.000000
1719760098.77426553,0.00948280,0.00414898,0.00000365,44213.00000000,0.01166868,0.000000,0.000000
1719760098.87509251,0.00949639,0.00354642,0.00000376,44562.00000000,0.01103152,0.000000,0.000000
1719760098.97599792,0.00951633,0.00334143,0.00000397,45110.00000000,0.01178943,0.000000,0.000000
1719760099.07681823,0.00952678,0.00274438,0.00000383,45836.00000000,0.01072956,0.000000,0.000000
1719760099.17767715,0.00956611,0.00362004,0.00000489,46400.00000000,0.01412747,0.000000,0.000000
1719760099.27857661,0.00957542,0.00315000,0.00000385,46948.00000000,0.01066486,0.000000,0.000000
1719760099.37939978,0.00959566,0.00323201,0.00000427,47409.00000000,0.01198404,0.000000,0.000000
1719760099.48030424,0.00959879,0.00257861,0.00000374,47890.00000000,0.00997117,0.000000,0.000000
1719760099.58112335,0.00963463,0.00645198,0.00000371,48343.00000000,0.01393542,0.000000,0.000000
1719760099.68197584,0.00963307,0.00240749,0.00000358,46422.00000000,0.00944445,0.000000,0.000000
1719760099.78287601,0.00963839,0.00222206,0.00000403,46994.00000000,0.01028799,0.000000,0.000000
1719760099.88372326,0.00964565,0.00235076,0.00000418,47594.00000000,0.01053875,0.000000,0.000000
1719760099.98455477,0.00964864,0.00256941,0.00000392,48100.00000000,0.01001906,0.000000,0.000000
1719760100.08542728,0.00965223,0.00247599,0.00000425,48644.00000000,0.01010026,0.000000,0.000000
1719760100.18632793,0.00966924,0.00256988,0.00000480,49160.00000000,0.01181287,0.000000,0.000000
1719760100.28718829,0.00967058,0.00236091,0.00000403,49758.00000000,0.00984048,0.000000,0.000000
1719760100.38800645,0.00967220,0.00240969,0.00000403,50319.00000000,0.00987993,0.000000,0.000000
1719760100.48885965,0.00967611,0.00238643,0.00000442,50713.00000000,0.01018052,0.000000,0.000000
1719760100.58973885,0.00968032,0.00267643,0.00000442,51105.00000000,0.01022814,0.000000,0.000000
1719760100.69062138,0.00968571,0.00246760,0.00000481,51444.00000000,0.01039102,0.000000,0.000000
1719760100.79144812,0.00969107,0.00258566,0.00000434,51818.00000000,0.01039826,0.000000,0.000000
1719760100.89230943,0.00969612,0.00244643,0.00000421,52090.00000000,0.01036831,0.000000,0.000000
1719760100.99315500,0.00970158,0.00263267,0.00000405,52547.00000000,0.01043316,0.000000,0.000000
1719760101.09402943,0.00971528,0.00315603,0.00000404,53113.00000000,0.01156553,0.000000,0.000000
1719760101.19492292,0.00971970,0.00243455,0.00000413,53692.00000000,0.01032029,0.000000,0.000000
1719760101.29574156,0.00972934,0.00296450,0.00000413,54159.00000000,0.01104961,0.000000,0.000000
1719760101.39660954,0.00974618,0.00249090,0.00000461,54598.00000000,0.01207018,0.000000,0.000000
1719760101.49746323,0.00975970,0.00290696,0.00000425,54982.00000000,0.01163972,0.000000,0.000000
1719760101.59838605,0.00976135,0.00225071,0.00000391,55444.00000000,0.00999137,0.000000,0.000000
1719760101.69921279,0.00976981,0.00289808,0.00000432,55877.00000000,0.01096357,0.000000,0.000000
1719760101.80008006,0.00978056,0.00348550,0.00000394,56384.00000000,0.01130603,0.000000,0.000000
1719760101.90096903,0.00979130,0.00320598,0.00000394,56699.00000000,0.01132840,0.000000,0.000000
1719760102.00176835,0.00979614,0.00289726,0.00000392,57169.00000000,0.01049252,0.000000,0.000000
1719760102.10267544,0.00980531,0.00316409,0.00000413,57543.00000000,0.01113498,0.000000,0.000000
1719760102.20354033,0.00981127,0.00296243,0.00000413,57946.00000000,0.01068193,0.000000,0.000000
1719760102.30435371,0.00982136,0.00272977,0.00000400,58446.00000000,0.01130406,0.000000,0.000000
1719760102.40522480,0.00982607,0.00303443,0.00000424,59055.00000000,0.01052374,0.000000,0.000000
1719760102.50607443,0.00983470,0.00270710,0.00000418,59597.00000000,0.01111936,0.000000,0.000000
1719760102.60697722,0.00985504,0.00298810,0.00000487,60147.00000000,0.01290598,0.000000,0.000000
1719760102.70782232,0.00987122,0.00308201,0.00000495,60515.00000000,0.01231568,0.000000,0.000000
1719760102.80865049,0.00988310,0.00321818,0.00000458,60921.00000000,0.01168827,0.000000,0.000000
1719760102.90953112,0.00990193,0.00319672,0.00000504,61263.00000000,0.01278352,0.000000,0.000000
1719760103.01037407,0.00992350,0.00287340,0.00000527,61644.00000000,0.01324469,0.000000,0.000000
1719760103.11128283,0.00994243,0.00260309,0.00000512,62021.00000000,0.01287648,0.000000,0.000000
1719760103.21212339,0.00995253,0.00305595,0.00000467,62412.00000000,0.01152762,0.000000,0.000000
1719760103.31295824,0.00996299,0.00313525,0.00000459,62744.00000000,0.01160566,0.000000,0.000000
